#
Tarjetas;SIM1 + SIM2 + SD
Radio;Sí
Diagonal de la pantalla;6.3
Tecnología de la pantalla;IPS
Resolución de la pantalla;Full HD+
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;4
Número de cámaras frontales;1
Resolución de la cámara trasera;48+8+2+2MP
Resolución de la cámara frontal;13 MP
Flash integrado;Sí
Grabación de vídeo;4K @30fps
Sensores;Giroscopio | Acelerómetro | Sensor de distancia | Brújula electrónica | Sensor de luz ambiente
Sensor de huellas dactilares;Sí
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;7066855
EAN;6941059634898
Marca;XIAOMI
Modelo;Redmi Note 8T
Garantía;2 años
Color;Blanco moonlight
Peso;199 g
Altura;16.1
Ancho;7.5
Profundidad;0.85
RAM;4 GB
Memoria interna;64 GB
Potencia de la batería;4000 mAh
Entrada del cargador;USB-C
Contenido extra incluido en la caja;Cargador, cable USB-C
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-xiaomi-redmi-note-8t-6-3-4-gb-64-gb-blanco-7066855
#
imagen;https://www.worten.es//i/35e66cc6d752bb55b263e051df5443d0d72b3c53.jpg
nombre;Smartphone XIAOMI Mi A3 (6.08'' - 4 GB - 64 GB - Blanco)
precio;249,99
Sistema operativo;Android
Versión del sistema operativo;One
Procesador;Kryo 260
Núcleos;Octa-Core
Velocidad del procesador;2.0 GHz
Tarjetas;SIM1 + SIM2 o SD
Radio;Sí
Diagonal de la pantalla;6.08
Tecnología de la pantalla;Amoled
Resolución de la pantalla;HD+
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;3
Número de cámaras frontales;1
Resolución de la cámara trasera;48 + 8 + 2MP
Resolución de la cámara frontal;32 MP
Flash integrado;Sí
Grabación de vídeo;4K video, 30fps
Sensores;Giroscopio | Acelerómetro | Sensor de distancia | Brújula electrónica | Sensor de luz ambiente | Motor vibrador | Infrarrojos
Sensor de huellas dactilares;Sí
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;6955471
EAN;6941059626329
Marca;XIAOMI
Modelo;Mi A3
Garantía;2 años
Color;Blanco
Peso;173.8g
Altura;15.3
Ancho;7.2
Profundidad;0.84
RAM;4 GB
Memoria interna;64 GB
Memoria externa;256GB
Potencia de la batería;4030 mAh
Entrada del cargador;USB-C
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-xiaomi-mi-a3-6-08-4-gb-64-gb-blanco-6955471
#
imagen;https://www.worten.es//i/940e6f843e12ec02eeb67a9aa87417ee726a0b11.jpg
nombre;Smartphone XIAOMI Mi 9T (6.39'' - 6 GB - 64 GB - Azul)
precio;0,00
Sistema operativo;Android
Versión del sistema operativo;9
Procesador;Snapdragon 730
Núcleos;Octa-Core
Velocidad del procesador;2.2GHz
Tarjetas;SIM1 + SIM2
Radio;No
Diagonal de la pantalla;6.39
Tecnología de la pantalla;Full HD+
Resolución de la pantalla;Amoled
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;3
Número de cámaras frontales;1
Resolución de la cámara trasera;48+8+13 MP
Resolución de la cámara frontal;20 MP
Flash integrado;Sí
Grabación de vídeo;4K@30fps
Sensores;Sensor de distancia | Sensor de luz ambiente | Acelerómetro | Giroscopio | Brújula electrónica
Sensor de huellas dactilares;Sí
Inteligencia artificial;Sí
Reconocimiento facial;Sí
Referencia;MRKEAN-6941059624585
EAN;6941059624585
Marca;XIAOMI
Modelo;Mi 9T
Color;Azul
Peso;191 g
Altura;15.7 cm
Ancho;7.4 cm
Profundidad;0.88 cm
RAM;6 GB
Memoria interna;64 GB
Memoria externa;No 
Potencia de la batería;4000 mAh
Entrada del cargador;USB-C
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-xiaomi-mi-9t-6-39-6-gb-64-gb-azul-MRKEAN-6941059624585
#
imagen;https://www.worten.es//i/2afa5f2d5c99dd9e6cc4c85fcd2ebd82c2f98a2a.jpg
nombre;Smartphone HUAWEI P40 Lite (6.4'' - 6 GB - 128 GB - Negro)
precio;299,99
Sistema operativo;Android
Versión del sistema operativo;10 Aosp+Emui10
Procesador;Kirin 810
Núcleos;Octa-Core
Velocidad del procesador;4x2.27 + 4x1.88 GHz
Tarjetas;SIM1 + SIM2 + SD
Radio;Sí
Diagonal de la pantalla;6.4
Tecnología de la pantalla;LCD
Resolución de la pantalla;Full HD+
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;4
Número de cámaras frontales;1
Resolución de la cámara trasera;48+8+2+2 MP
